"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","825","mantém o item visível na lista quando a atualização falha","chromium","2026-04-13","passed","2026-04-13","Tratamento de Erros > PATCH /tasks/:id falha (toggle de conclusão)","error-handling.spec.ts","",""
"","33","retorna 400 quando o título excede 255 caracteres","chromium","2026-04-13","failed","2026-04-13","Contratos de API > POST /tasks","api-contracts.spec.ts","",""
"","341","nova tarefa criada manualmente não possui badge de IA","chromium","2026-04-13","passed","2026-04-13","Criação de Tarefa","task-creation.spec.ts","",""
"","446","permite desmarcar (desconcluir) uma tarefa já concluída","chromium","2026-04-13","passed","2026-04-13","Conclusão de Tarefa","task-completion.spec.ts","",""
"","409","mantém a lista inalterada quando a criação de tarefa falha","chromium","2026-04-13","passed","2026-04-13","Tratamento de Erros > POST /tasks falha","error-handling.spec.ts","",""
"","323","apenas a tarefa selecionada é removida, as demais permanecem","chromium","2026-04-13","passed","2026-04-13","Exclusão de Tarefa","task-deletion.spec.ts","",""
"","311","tarefa concluída exibe cor de texto esmaecida","chromium","2026-04-13","passed","2026-04-13","Conclusão de Tarefa","task-completion.spec.ts","",""
"","256","exibe zero no contador de tarefas quando não há tarefas","chromium","2026-04-13","passed","2026-04-13","Estado Vazio","empty-state.spec.ts","",""
"","357","contador de tarefas no cabeçalho atualiza após criação","chromium","2026-04-13","passed","2026-04-13","Criação de Tarefa","task-creation.spec.ts","",""
"","34","retorna 400 quando o título contém apenas espaços em branco","chromium","2026-04-13","failed","2026-04-13","Contratos de API > POST /tasks","api-contracts.spec.ts","",""
"","411","preserva o texto do objetivo após erro na geração por IA","chromium","2026-04-13","passed","2026-04-13","Tratamento de Erros > Erros na geração por IA","error-handling.spec.ts","",""
"","7","retorna 200 com um array","chromium","2026-04-13","passed","2026-04-13","Contratos de API > GET /tasks","api-contracts.spec.ts","",""
"","5649","estado vazio desaparece após criar a primeira tarefa","chromium","2026-04-13","failed","2026-04-13","Estado Vazio","empty-state.spec.ts","",""
"","313","exibe o container da lista quando não há tarefas","chromium","2026-04-13","passed","2026-04-13","Estado Vazio","empty-state.spec.ts","",""
"","874","mantém a tarefa na lista quando a exclusão falha","chromium","2026-04-13","passed","2026-04-13","Tratamento de Erros > DELETE /tasks/:id falha","error-handling.spec.ts","",""
"","892","página inicial não possui violações de acessibilidade críticas","chromium","2026-04-13","passed","2026-04-13","Acessibilidade (WCAG 2.1 AA)","accessibility.spec.ts","",""
"","866","ACESSIBILIDADE-001: botão de exclusão não possui nome acessível","chromium","2026-04-13","failed","2026-04-13","Acessibilidade (WCAG 2.1 AA)","accessibility.spec.ts","",""
"","2473","exibe mensagem de erro ou lista vazia quando a API está fora do ar","chromium","2026-04-13","failed","2026-04-13","Tratamento de Erros > API indisponível (GET /tasks falha)","error-handling.spec.ts","",""
"","11","retorna 404 quando a tarefa não existe","chromium","2026-04-13","passed","2026-04-13","Contratos de API > GET /tasks/:id","api-contracts.spec.ts","",""
"","5752","exibe mensagem de erro quando a API de IA retorna 401 (chave inválida)","chromium","2026-04-13","failed","2026-04-13","Tratamento de Erros > Erros na geração por IA","error-handling.spec.ts","",""
"","5727","persiste o estado de conclusão após recarregar a página","chromium","2026-04-13","failed","2026-04-13","Conclusão de Tarefa","task-completion.spec.ts","",""
"","8","retorna 404 ao atualizar tarefa inexistente","chromium","2026-04-13","passed","2026-04-13","Contratos de API > PATCH /tasks/:id","api-contracts.spec.ts","",""
"","335","cria uma tarefa manualmente e exibe na lista imediatamente","chromium","2026-04-13","passed","2026-04-13","Criação de Tarefa","task-creation.spec.ts","",""
"","328","não cria tarefa quando o título contém apenas espaços em branco","chromium","2026-04-13","passed","2026-04-13","Criação de Tarefa","task-creation.spec.ts","",""
"","8","retorna 400 quando ambos os campos estão ausentes","chromium","2026-04-13","passed","2026-04-13","Contratos de API > POST /ai/generate","api-contracts.spec.ts","",""
"","44","retorna 200 com a tarefa quando ela existe","chromium","2026-04-13","passed","2026-04-13","Contratos de API > GET /tasks/:id","api-contracts.spec.ts","",""
"","426","permite excluir uma tarefa já concluída","chromium","2026-04-13","passed","2026-04-13","Exclusão de Tarefa","task-deletion.spec.ts","",""
"","8","retorna 400 quando o objetivo está ausente","chromium","2026-04-13","passed","2026-04-13","Contratos de API > POST /ai/generate","api-contracts.spec.ts","",""
"","23","retorna 200 e tarefa atualizada ao marcar como concluída","chromium","2026-04-13","passed","2026-04-13","Contratos de API > PATCH /tasks/:id","api-contracts.spec.ts","",""
"","405","contador de tarefas decrementa após exclusão","chromium","2026-04-13","passed","2026-04-13","Exclusão de Tarefa","task-deletion.spec.ts","",""
"","342","limpa o campo de título após criação bem-sucedida","chromium","2026-04-13","passed","2026-04-13","Criação de Tarefa","task-creation.spec.ts","",""
"","804","ACESSIBILIDADE-003: campos do gerador de IA não possuem labels associados","chromium","2026-04-13","passed","2026-04-13","Acessibilidade (WCAG 2.1 AA)","accessibility.spec.ts","",""
"","396","remove a tarefa da lista após clicar no botão de exclusão","chromium","2026-04-13","passed","2026-04-13","Exclusão de Tarefa","task-deletion.spec.ts","",""
"","10","retorna 201 e a tarefa criada com schema correto","chromium","2026-04-13","passed","2026-04-13","Contratos de API > POST /tasks","api-contracts.spec.ts","",""
